Project: 43-648_TMCJ_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner: INCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site: Site of Interest 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type: Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID: T91-8_QB-8_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing option : All elements analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spectrum,Absolute stage X (mm).,Absolute stage Y (mm).,Stage X (mm).,Stage Y (mm).,Beam X (mm).,Beam Y (mm).,Weight% C K_SERIES,Weight% N K_SERIES,Weight% O K_SERIES,Weight% Al K_SERIES,Weight% Si K_SERIES,Weight% P K_SERIES,Weight% S K_SERIES,Weight% V K_SERIES,Weight% Cr K_SERIES,Weight% Mn K_SERIES,Weight% Fe K_SERIES,Weight% Ni K_SERIES,Weight% Nb L_SERIES,Weight% Mo L_SERIES,Weight%Total,Atomic% C K_SERIES,Atomic% N K_SERIES,Atomic% O K_SERIES,Atomic% Al K_SERIES,Atomic% Si K_SERIES,Atomic% P K_SERIES,Atomic% S K_SERIES,Atomic% V K_SERIES,Atomic% Cr K_SERIES,Atomic% Mn K_SERIES,Atomic% Fe K_SERIES,Atomic% Ni K_SERIES,Atomic% Nb L_SERIES,Atomic% Mo L_SERIES,Apparent conc.% C K_SERIES,Apparent conc.% N K_SERIES,Apparent conc.% O K_SERIES,Apparent conc.% Al K_SERIES,Apparent conc.% Si K_SERIES,Apparent conc.% P K_SERIES,Apparent conc.% S K_SERIES,Apparent conc.% V K_SERIES,Apparent conc.% Cr K_SERIES,Apparent conc.% Mn K_SERIES,Apparent conc.% Fe K_SERIES,Apparent conc.% Ni K_SERIES,Apparent conc.% Nb L_SERIES,Apparent conc.% Mo L_SERIES,k ratio C K_SERIES,k ratio N K_SERIES,k ratio O K_SERIES,k ratio Al K_SERIES,k ratio Si K_SERIES,k ratio P K_SERIES,k ratio S K_SERIES,k ratio V K_SERIES,k ratio Cr K_SERIES,k ratio Mn K_SERIES,k ratio Fe K_SERIES,k ratio Ni K_SERIES,k ratio Nb L_SERIES,k ratio Mo L_SERIES,Intensity correction C K_SERIES,Intensity correction N K_SERIES,Intensity correction O K_SERIES,Intensity correction Al K_SERIES,Intensity correction Si K_SERIES,Intensity correction P K_SERIES,Intensity correction S K_SERIES,Intensity correction V K_SERIES,Intensity correction Cr K_SERIES,Intensity correction Mn K_SERIES,Intensity correction Fe K_SERIES,Intensity correction Ni K_SERIES,Intensity correction Nb L_SERIES,Intensity correction Mo L_SERIES,Standard C K_SERIES,Standard N K_SERIES,Standard O K_SERIES,Standard Al K_SERIES,Standard Si K_SERIES,Standard P K_SERIES,Standard S K_SERIES,Standard V K_SERIES,Standard Cr K_SERIES,Standard Mn K_SERIES,Standard Fe K_SERIES,Standard Ni K_SERIES,Standard Nb L_SERIES,Standard Mo L_SERIES,Peak area Noise 1,Peak area Noise 2,Peak area Noise 3,Peak area C K_SERIES,Peak area N K_SERIES,Peak area O K_SERIES,Peak area Al K_SERIES,Peak area Si K_SERIES,Peak area P K_SERIES,Peak area S K_SERIES,Peak area V K_SERIES,Peak area V L_SERIES,Peak area Cr K_SERIES,Peak area Cr L_SERIES,Peak area Mn K_SERIES,Peak area Mn L_SERIES,Peak area Fe K_SERIES,Peak area Fe L_SERIES,Peak area Ni K_SERIES,Peak area Ni L_SERIES,Peak area Nb L_SERIES,Peak area Nb M_SERIES,Peak area Mo L_SERIES,Peak area Mo M_SERIES,Peak area sigma Noise 1,Peak area sigma Noise 2,Peak area sigma Noise 3,Peak area sigma C K_SERIES,Peak area sigma N K_SERIES,Peak area sigma O K_SERIES,Peak area sigma Al K_SERIES,Peak area sigma Si K_SERIES,Peak area sigma P K_SERIES,Peak area sigma S K_SERIES,Peak area sigma V K_SERIES,Peak area sigma V L_SERIES,Peak area sigma Cr K_SERIES,Peak area sigma Cr L_SERIES,Peak area sigma Mn K_SERIES,Peak area sigma Mn L_SERIES,Peak area sigma Fe K_SERIES,Peak area sigma Fe L_SERIES,Peak area sigma Ni K_SERIES,Peak area sigma Ni L_SERIES,Peak area sigma Nb L_SERIES,Peak area sigma Nb M_SERIES,Peak area sigma Mo L_SERIES,Peak area sigma Mo M_SERIES,Fit index Noise 1,Fit index Noise 2,Fit index Noise 3,Fit index C K_SERIES,Fit index N K_SERIES,Fit index O K_SERIES,Fit index Al K_SERIES,Fit index Si K_SERIES,Fit index P K_SERIES,Fit index S K_SERIES,Fit index V K_SERIES,Fit index V L_SERIES,Fit index Cr K_SERIES,Fit index Cr L_SERIES,Fit index Mn K_SERIES,Fit index Mn L_SERIES,Fit index Fe K_SERIES,Fit index Fe L_SERIES,Fit index Ni K_SERIES,Fit index Ni L_SERIES,Fit index Nb L_SERIES,Fit index Nb M_SERIES,Fit index Mo L_SERIES,Fit index Mo M_SERIES,Elevation (deg.),Tilt (deg.),Azimuth (deg.),Livetime (s),kV,Process time,Acqusition date/time,Optimization line,Optimization area,Optimization date/time,Number of iterations
Sum Spectrum,,,-0.398,-0.2275,,,2.767896,0.8513079,22.23001,0.1947809,0.3547466,2.09E-02,0.1015728,0.4290799,13.10268,0.3318214,52.35004,8.41E-02,0.1821498,0.2325182,93.2336,7.908165,2.085675,47.68171,0.2477292,0.4334444,2.32E-02,0.1087089,0.2890462,8.647593,0.2072701,32.16786,4.91E-02,6.73E-02,8.32E-02,1.580967,0.351479,37.21485,0.1334428,0.2856334,2.60E-02,9.73E-02,0.4182428,13.55203,0.3017779,47.60061,7.37E-02,0.1361153,0.1780651,7.31E-03,3.51E-03,0.1335678,9.83E-04,2.30E-03,1.54E-04,8.55E-04,4.18E-03,0.1355203,3.02E-03,0.4760061,7.37E-04,1.36E-03,1.78E-03,0.5712497,0.4128894,1.674314,0.6850931,0.8051771,1.240135,0.9579142,0.9747431,1.03431,0.9094581,0.9092464,0.8766004,0.7472715,0.7658115,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,56443,-38004,23671,24230,8594,690204,10409,21255,1333,6932,14012,121412,384640,96868,7147,-37868,933379,284226,907,-33765,7369,-7916,9456,8374,1399,2133,1093,665,894,2276,537,610,703,1515,559,3422,1176,3883,649,2798,1642,1925,364,752,1481,553,2996,687,14.72,14.87,15.38,71.14,138.23,142.91,1.72,2.08,1.78,0.26,3.13,139.52,11.13,137.87,12.98,153.68,18.17,212,7.34,232.2,1.32,100.67,1.5,93.73,30,0,0,135.17,15,3,7/30/2017 20:59,Cu K_SERIES,417430,7/24/2017 16:48,3
Spectrum 2,,,-0.398,-0.2275,0.0396455,0.0079291,0.6136699,-2.205331,32.07464,0.98866,0.1570159,-0.4113338,-1.162043,0.2966262,6.204535,-0.2329207,57.80628,-1.53561,-0.2185497,5.189951,97.5656,1.662767,-5.123942,65.24461,1.192473,0.1819405,-0.4321881,-1.179452,0.1895,3.883426,-0.1379783,33.68611,-0.8512254,-7.66E-02,1.760513,0.3179052,-0.8535001,51.88195,0.6895846,0.12729,-0.5133227,-1.116045,0.2870131,6.407343,-0.2102229,52.74565,-1.347997,-0.163919,3.984836,1.47E-03,-0.008535,0.1862095,5.08E-03,1.03E-03,-3.04E-03,-0.0098068,2.87E-03,6.41E-02,-2.10E-03,0.5274565,-1.35E-02,-1.64E-03,3.98E-02,0.5180489,0.3870168,1.617828,0.6974966,0.8106824,1.247947,0.9604164,0.9675916,1.032691,0.9025515,0.9124114,0.8778253,0.7500306,0.7677979,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,31,-37,27,2,-7,342,19,3,-9,-28,3,60,65,17,-2,-23,367,134,-6,-34,-3,4,75,6,41,65,32,12,20,65,12,14,18,37,10,98,15,105,11,74,33,51,7,17,34,12,71,14,0,0,0,0,0,0,0.18,0,0,0,0.02,0.03,0.01,0.04,0.01,0.1,0.01,0.14,0,0.19,0.14,0,0.14,0,30,0,0,0.05,15,3,7/30/2017 20:47,Cu K_SERIES,417430,7/24/2017 16:48,3
Spectrum 3,,,-0.398,-0.2275,-0.025653,-0.025653,4.289212,-0.1298113,12.60009,0.6482321,-0.1642075,-0.375914,9.33E-02,-0.1097082,5.485822,0.8142725,53.12178,1.830189,-1.2207,-0.879492,76.00308,16.06717,-0.4169733,35.43412,1.08093,-0.2630535,-0.5460497,0.130963,-0.0968956,4.74693,0.666865,42.79704,1.402571,-0.5911614,-0.4124517,2.337165,-4.74E-02,20.41914,0.4310234,-0.1287664,-0.4593715,8.87E-02,-0.1110945,5.977057,0.7527227,49.60366,1.620654,-0.9028004,-0.6683487,1.08E-02,-4.74E-04,7.33E-02,3.17E-03,-1.04E-03,-2.72E-03,7.79E-04,-1.11E-03,5.98E-02,7.53E-03,0.4960366,1.62E-02,-9.03E-03,-6.68E-03,0.5450085,0.3650873,1.620822,0.6649253,0.7841691,1.222012,0.9504622,1.012637,1.089566,0.9244099,0.9337054,0.885508,0.7395762,0.7599258,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,60,-74,33,16,-1,168,15,-4,-10,3,-2,26,75,31,8,-1,432,94,9,-7,-22,16,-16,-10,43,68,38,10,15,47,8,9,12,27,12,71,18,75,13,53,36,35,7,15,27,9,56,10,0,0,0,0.02,0.02,0.02,0.1,0.09,0.07,0.04,0.02,0.02,0.09,0.02,0.08,0.05,0.08,0.11,0,0.14,0.05,0.02,0.04,0.02,30,0,0,0.06,15,3,7/30/2017 20:47,Cu K_SERIES,417430,7/24/2017 16:48,3
Spectrum 4,,,-0.398,-0.2275,0.0223881,-0.0307836,6.35E-02,-4.929809,21.34603,0.260137,0.2731592,0.3777797,0.7906033,0.3215596,9.379993,2.656961,56.63132,-5.34E-03,1.215573,-1.738983,86.64253,0.2312298,-15.38424,58.31969,0.4214236,0.4251252,0.533129,1.077784,0.2759158,7.885398,2.113992,44.32491,-3.97E-03,0.5719106,-0.7922946,3.29E-02,-2.073803,37.31247,0.1763633,0.2186022,0.4681101,0.7570977,0.3204165,9.922622,2.447152,52.44944,-4.73E-03,0.9065818,-1.3314,1.52E-04,-2.07E-02,0.1339182,1.30E-03,1.76E-03,2.77E-03,6.65E-03,3.20E-03,9.92E-02,2.45E-02,0.5244943,-4.73E-05,9.07E-03,-0.013314,0.5184016,0.4206659,1.748067,0.6779636,0.800274,1.239109,0.9576201,0.996445,1.057854,0.9210338,0.9261493,0.8864437,0.7458066,0.7656198,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,15,12,-7,0,-23,307,6,7,11,24,5,66,125,44,26,-48,457,165,0,-16,22,-10,-31,6,50,80,44,12,20,65,12,13,16,33,14,98,21,102,13,68,36,44,7,15,35,11,68,13,0,0,0,0.23,0.39,0.47,0.15,0,0,0,0.14,0.41,0.32,0.45,0.47,0.48,0.45,0.63,0.04,0.58,0,0.27,0,0.25,30,0,0,0.06,15,3,7/30/2017 20:47,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(1,1)",,,-0.398,-0.2275,-0.0597015,0.0410448,0.760446,-1.531936,11.18291,-5.77E-02,0.2979935,-0.1885785,0.5167251,0.3369188,19.10719,0.424089,41.88157,0.202393,7.61E-02,-0.2943608,72.71373,3.508868,-6.061404,38.73824,-0.1186115,0.5880234,-0.3374214,0.8931402,0.3665448,20.36595,0.4278209,41.56242,0.1910563,4.54E-02,-0.1700427,0.4137181,-0.6528885,19.75463,-3.90E-02,0.2391286,-0.2348298,0.5002433,0.3332366,19.8898,0.3977459,38.7211,0.1815774,5.73E-02,-0.2278382,1.91E-03,-6.53E-03,7.09E-02,-2.87E-04,1.93E-03,-1.39E-03,4.40E-03,3.33E-03,0.198898,3.98E-03,0.387211,1.82E-03,5.73E-04,-2.28E-03,0.5440524,0.4261853,1.766571,0.675678,0.8024628,1.245263,0.9681036,0.9890708,1.040966,0.937883,0.924539,0.8971526,0.7533298,0.7740102,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,256,-226,102,16,-41,951,-8,46,-31,93,29,177,1466,296,24,-171,1972,384,6,-77,8,-7,-31,9,106,159,76,23,40,120,22,26,28,70,28,189,69,188,35,126,77,83,18,31,64,21,138,25,0,0,0,0.28,0.36,0.53,0.49,0.28,0.28,0.18,0.51,0.52,0.59,0.57,0.62,1.13,0.59,1.16,0.24,1.42,0.25,0.25,0.36,0.24,30,0,0,0.35,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(2,1)",,,-0.398,-0.2275,-0.0536381,0.0410448,3.267201,1.146876,26.90615,0.279887,0.3920795,0.1892863,0.3391525,0.6583406,15.65041,0.2694406,54.88089,-0.1807672,-0.2098772,-0.6858606,102.9032,8.082065,2.432748,49.96713,0.3082011,0.4147725,0.1815715,0.31427,0.3839727,8.942963,0.1457189,29.19759,-9.15E-02,-6.71E-02,-0.2124036,1.888771,0.4795715,44.91714,0.1934303,0.3173094,0.2352965,0.3245876,0.6349981,15.97554,0.2432666,49.46452,-0.1576165,-0.1568107,-0.5247559,8.73E-03,4.80E-03,0.1612121,1.42E-03,2.56E-03,1.39E-03,2.85E-03,6.35E-03,0.1597554,2.43E-03,0.4946451,-1.58E-03,-1.57E-03,-5.25E-03,0.5781846,0.418182,1.669637,0.6911032,0.8092999,1.243072,0.9570553,0.9645429,1.020785,0.9028575,0.9012774,0.8719309,0.7471544,0.7651058,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,235,-138,89,145,59,4160,75,118,60,115,106,613,2264,651,29,-169,4844,1398,-10,-235,-42,-43,-139,53,92,138,70,50,68,175,41,49,56,117,40,260,88,295,46,209,119,142,27,58,115,40,232,50,0,0,0,0.28,0.55,0.53,0.52,0.2,0.33,0.52,0.5,0.47,0.44,0.47,0.41,0.66,0.41,1.13,0.46,1.67,0.39,0.38,0.36,0.34,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(3,1)",,,-0.398,-0.2275,-0.0419776,0.0410448,1.722394,6.47E-02,24.3184,0.2970139,0.2803089,0.1177393,0.0197861,0.5992273,14.10445,0.341414,54.76703,-0.3285538,0.4606687,0.3219935,97.08659,4.834773,0.1557718,51.24659,0.3711295,0.3364882,0.1281583,2.08E-02,0.3965869,9.145533,0.2095228,33.06299,-0.1886762,0.1671736,0.1131541,0.969759,2.75E-02,42.37278,0.2031355,0.2253919,0.1460908,1.90E-02,0.584852,14.59777,0.3114692,49.93402,-0.2889537,0.3443226,0.2467385,4.48E-03,2.75E-04,0.1520801,1.50E-03,1.82E-03,8.65E-04,1.67E-04,5.85E-03,0.1459777,3.11E-03,0.4993402,-2.89E-03,3.44E-03,2.47E-03,0.5630521,0.425069,1.742647,0.6839265,0.8040844,1.240799,0.9584958,0.9760101,1.034985,0.9122915,0.9117324,0.8794716,0.7474407,0.766284,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,245,-89,53,74,3,3924,79,84,37,7,98,672,2069,527,37,-207,4890,1548,-18,-210,93,-5,65,19,92,137,67,46,64,172,41,46,53,117,41,250,87,294,47,214,119,147,26,56,115,39,231,48,0,0,0,0.37,0.66,0.64,0.52,0.29,0.18,0.14,0.92,0.64,0.64,0.62,0.72,0.65,0.76,0.81,0.78,1.25,0.35,0.46,0.41,0.44,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(4,1)",,,-0.398,-0.2275,-0.0303172,0.0410448,4.277245,2.367822,34.809,0.2183264,0.448118,-5.58E-02,5.66E-02,0.5338711,15.24511,-2.20E-02,57.96035,4.35E-02,-0.5174334,0.7305311,116.0952,8.752289,4.154708,53.4731,0.1988698,0.3921382,-4.42E-02,4.34E-02,0.2575711,7.206052,-9.86E-03,25.5075,1.82E-02,-0.1368823,0.1871439,2.554397,0.9856713,56.37025,0.1526297,0.3652666,-6.95E-02,5.42E-02,0.5083519,15.36981,-1.96E-02,51.69121,3.75E-02,-0.3871911,0.5588577,1.18E-02,9.86E-03,0.2023185,1.12E-03,2.95E-03,-4.11E-04,4.76E-04,5.08E-03,0.1536981,-1.96E-04,0.5169121,3.75E-04,-3.87E-03,5.59E-03,0.5973495,0.4163542,1.619592,0.6990912,0.815114,1.246243,0.9569718,0.9521991,1.008185,0.8913657,0.8917868,0.864129,0.7482917,0.7650016,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,238,-152,130,196,120,5221,59,136,-18,19,85,922,2178,875,-2,-277,5062,2299,2,-191,-105,-34,148,20,105,163,85,56,77,198,45,51,61,128,42,294,87,340,48,247,121,170,28,62,125,44,254,55,0.41,0.42,0.38,0.95,1.09,0.87,0.46,0.42,0.56,0.48,0.54,1.33,0.96,1.13,1.11,1.66,1.42,1.76,0.64,1.71,0.42,0.92,0.56,0.93,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(5,1)",,,-0.398,-0.2275,-0.0186567,0.0410448,1.385314,0.3170148,28.79663,5.21E-02,0.4900356,5.78E-02,0.2044472,0.3783039,15.197,0.4378552,58.36845,0.3788435,-0.2366852,-0.6678869,105.1593,3.478981,0.6826802,54.2915,5.83E-02,0.5262846,5.63E-02,0.1923297,0.2239999,8.815988,0.2404035,31.52545,0.1946394,-7.68E-02,-0.209984,0.7933962,0.1412092,52.4009,3.56E-02,0.3939123,7.15E-02,0.1954098,0.3679822,15.67325,0.3976505,52.97338,0.3316732,-0.1764624,-0.5103428,3.67E-03,1.41E-03,0.1880721,2.62E-04,3.18E-03,4.24E-04,1.72E-03,3.68E-03,0.1567325,3.98E-03,0.5297338,3.32E-03,-1.76E-03,-5.10E-03,0.5727327,0.4454368,1.819885,0.6826627,0.8038446,1.237355,0.9557964,0.9727159,1.031346,0.9081777,0.9075525,0.8754884,0.7455572,0.7641157,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,186,-150,128,61,17,4853,14,146,18,70,62,981,2221,584,47,-214,5187,2034,20,-132,-48,-91,-135,77,95,146,76,48,67,188,43,51,56,118,41,265,88,320,48,233,121,162,28,60,115,40,234,50,0.06,0.06,0.07,0.07,0.07,0.09,0.77,0.43,0.79,1.03,0.25,0.26,0.31,0.25,0.52,0.53,0.61,0.62,0.45,0.75,1.01,0.08,1.03,0.05,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
"Grid Spectrum(6,1)",,,-0.398,-0.2275,-0.0069963,0.0410448,2.537729,0.2432407,31.83084,0.133816,0.412437,8.75E-02,-0.2810673,0.7192751,16.5569,0.4371283,54.39111,0.2970366,-3.99E-02,0.5712656,107.8973,5.940073,0.4882214,55.93467,0.1394311,0.4128511,7.94E-02,-0.2464441,0.3969582,8.952306,0.2236979,27.38128,0.1422406,-1.21E-02,0.1674033,1.487701,0.1051658,55.88319,9.27E-02,0.3345702,0.1088728,-0.2692558,0.6897932,16.76712,0.3935971,48.87734,0.2587411,-2.99E-02,0.4374917,6.88E-03,1.05E-03,0.2005703,6.83E-04,2.70E-03,6.45E-04,-2.37E-03,6.90E-03,0.1676712,3.94E-03,0.4887734,2.59E-03,-2.99E-04,4.37E-03,0.5862723,0.4323565,1.755982,0.692492,0.8112038,1.244604,0.9579761,0.9590111,1.012702,0.9004149,0.8985935,0.8710744,0.7482001,0.7658286,CaCO3,Not defined,SiO2,Al2O3,SiO2,GaP,FeS2,V,Cr,Mn,Fe,Ni,Nb,Mo,184,-96,92,114,13,5176,36,124,28,-96,115,893,2377,633,47,-373,4786,2077,16,-187,-8,-75,116,78,93,138,69,53,76,197,45,50,57,119,41,291,90,338,49,246,118,171,27,62,117,44,237,54,0.13,0.13,0.14,0.33,0.98,1.33,0.77,0.4,0.53,0.69,1.11,1.48,0.95,1.6,0.74,2,0.65,1.98,0.3,1.84,0.66,0.71,0.64,0.61,30,0,0,0.68,15,3,1/23/2018 17:46,Cu K_SERIES,417430,7/24/2017 16:48,3
